,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
1,D,23.0,7.0,7.0,16.0,C,8349
2,E,15.0,5.0,5.0,10.0,C,8349
0,C,26.0,16.0,16.0,10.0,C,8350
0,C,26.0,9.0,9.0,17.0,F,8351
1,F,23.0,6.0,6.0,17.0,F,8351
0,C,26.0,17.0,17.0,9.0,F,8352
1,F,23.0,3.0,3.0,20.0,F,8352
0,E,15.0,3.0,3.0,12.0,F,8353
1,F,23.0,5.0,5.0,18.0,F,8353
0,E,15.0,3.0,3.0,12.0,F,8354
1,F,23.0,6.0,6.0,17.0,F,8354
0,E,15.0,4.0,4.0,11.0,E,8355
0,C,26.0,10.0,10.0,16.0,C,8356
1,D,23.0,8.0,8.0,15.0,C,8356
2,E,15.0,7.0,7.0,8.0,C,8356
3,F,23.0,8.0,8.0,15.0,C,8356
0,E,15.0,9.0,9.0,6.0,E,8357
0,C,26.0,13.0,13.0,13.0,C,8358
1,D,23.0,17.0,17.0,6.0,C,8358
2,F,23.0,18.0,18.0,5.0,C,8358
0,C,26.0,2.0,2.0,24.0,C,8359
1,F,23.0,6.0,6.0,17.0,C,8359
0,E,15.0,8.0,8.0,7.0,E,8360
0,C,26.0,2.0,2.0,24.0,C,8361
1,D,23.0,6.0,6.0,17.0,C,8361
2,E,15.0,18.0,18.0,-3.0,C,8361
3,F,23.0,14.0,14.0,9.0,C,8361
0,E,15.0,4.0,4.0,11.0,E,8362
0,D,23.0,12.0,12.0,11.0,F,8363
1,E,15.0,8.0,8.0,7.0,F,8363
2,F,23.0,9.0,9.0,14.0,F,8363
0,D,23.0,7.0,7.0,16.0,F,8364
1,E,15.0,6.0,6.0,9.0,F,8364
2,F,23.0,5.0,5.0,18.0,F,8364
0,F,23.0,10.0,10.0,13.0,F,8365
0,C,26.0,15.0,15.0,11.0,C,8366
0,C,26.0,8.0,8.0,18.0,C,8367
1,E,15.0,10.0,10.0,5.0,C,8367
0,C,26.0,8.0,8.0,18.0,C,8368
1,F,23.0,11.0,11.0,12.0,C,8368
0,D,23.0,6.0,6.0,17.0,D,8369
