,target_name,social_reward,path,energy_cost,total_score,final_target,simulation_index
2,E,18.0,5.0,5.0,13.0,C,7798
3,F,23.0,11.0,11.0,12.0,C,7798
0,C,20.0,13.0,13.0,7.0,F,7799
1,D,15.0,10.0,10.0,5.0,F,7799
2,F,23.0,5.0,5.0,18.0,F,7799
0,C,20.0,6.0,6.0,14.0,F,7800
1,D,15.0,4.0,4.0,11.0,F,7800
2,E,18.0,10.0,10.0,8.0,F,7800
3,F,23.0,5.0,5.0,18.0,F,7800
0,C,20.0,4.0,4.0,16.0,F,7801
1,F,23.0,5.0,5.0,18.0,F,7801
0,D,15.0,5.0,5.0,10.0,F,7802
1,F,23.0,7.0,7.0,16.0,F,7802
0,F,23.0,7.0,7.0,16.0,F,7803
0,D,15.0,13.0,13.0,2.0,F,7804
1,E,18.0,7.0,7.0,11.0,F,7804
2,F,23.0,5.0,5.0,18.0,F,7804
0,C,20.0,3.0,3.0,17.0,C,7805
1,E,18.0,5.0,5.0,13.0,C,7805
2,F,23.0,9.0,9.0,14.0,C,7805
0,D,15.0,6.0,6.0,9.0,F,7806
1,E,18.0,3.0,3.0,15.0,F,7806
2,F,23.0,6.0,6.0,17.0,F,7806
0,C,20.0,11.0,11.0,9.0,F,7807
1,F,23.0,3.0,3.0,20.0,F,7807
0,D,15.0,8.0,8.0,7.0,D,7808
0,C,20.0,5.0,5.0,15.0,F,7809
1,D,15.0,3.0,3.0,12.0,F,7809
2,E,18.0,4.0,4.0,14.0,F,7809
3,F,23.0,6.0,6.0,17.0,F,7809
0,C,20.0,8.0,8.0,12.0,F,7810
1,D,15.0,9.0,9.0,6.0,F,7810
2,E,18.0,12.0,12.0,6.0,F,7810
3,F,23.0,5.0,5.0,18.0,F,7810
0,C,20.0,17.0,17.0,3.0,F,7811
1,D,15.0,3.0,3.0,12.0,F,7811
2,E,18.0,14.0,14.0,4.0,F,7811
3,F,23.0,10.0,10.0,13.0,F,7811
0,C,20.0,3.0,3.0,17.0,C,7812
1,D,15.0,7.0,7.0,8.0,C,7812
0,C,20.0,11.0,11.0,9.0,F,7813
1,F,23.0,6.0,6.0,17.0,F,7813
0,D,15.0,11.0,11.0,4.0,D,7814
0,C,20.0,9.0,9.0,11.0,C,7815
0,C,20.0,6.0,6.0,14.0,C,7816
1,E,18.0,10.0,10.0,8.0,C,7816
2,F,23.0,14.0,14.0,9.0,C,7816
0,D,15.0,11.0,11.0,4.0,F,7817
1,E,18.0,6.0,6.0,12.0,F,7817
2,F,23.0,6.0,6.0,17.0,F,7817
0,E,18.0,8.0,8.0,10.0,E,7818
0,C,20.0,12.0,12.0,8.0,E,7819
1,D,15.0,2.0,2.0,13.0,E,7819
2,E,18.0,4.0,4.0,14.0,E,7819
3,F,23.0,12.0,12.0,11.0,E,7819
0,C,20.0,9.0,9.0,11.0,C,7820
1,D,15.0,5.0,5.0,10.0,C,7820
0,D,15.0,14.0,14.0,1.0,D,7821
0,E,18.0,8.0,8.0,10.0,F,7822
1,F,23.0,7.0,7.0,16.0,F,7822
0,C,20.0,14.0,14.0,6.0,F,7823
1,D,15.0,6.0,6.0,9.0,F,7823
2,E,18.0,11.0,11.0,7.0,F,7823
3,F,23.0,10.0,10.0,13.0,F,7823
0,C,20.0,4.0,4.0,16.0,C,7824
0,D,15.0,8.0,8.0,7.0,D,7825
0,C,20.0,10.0,10.0,10.0,F,7826
1,D,15.0,6.0,6.0,9.0,F,7826
2,E,18.0,16.0,16.0,2.0,F,7826
3,F,23.0,13.0,13.0,10.0,F,7826
0,C,20.0,8.0,8.0,12.0,F,7827
1,D,15.0,5.0,5.0,10.0,F,7827
2,E,18.0,10.0,10.0,8.0,F,7827
3,F,23.0,9.0,9.0,14.0,F,7827
0,F,23.0,2.0,2.0,21.0,F,7828
0,C,20.0,6.0,6.0,14.0,F,7829
1,D,15.0,4.0,4.0,11.0,F,7829
2,F,23.0,6.0,6.0,17.0,F,7829
0,C,20.0,7.0,7.0,13.0,F,7830
1,F,23.0,9.0,9.0,14.0,F,7830
0,C,20.0,6.0,6.0,14.0,E,7831
1,E,18.0,4.0,4.0,14.0,E,7831
0,C,20.0,8.0,8.0,12.0,F,7832
1,E,18.0,13.0,13.0,5.0,F,7832
2,F,23.0,9.0,9.0,14.0,F,7832
0,D,15.0,5.0,5.0,10.0,D,7833
0,E,18.0,9.0,9.0,9.0,E,7834
0,F,23.0,3.0,3.0,20.0,F,7835
0,D,15.0,12.0,12.0,3.0,F,7836
1,E,18.0,12.0,12.0,6.0,F,7836
